Unnamed: 0,HGNC,Ensembl_ID,pathway_id,pathway_name,KEGG_ID,Level_0,Level_1,Level_2,Level_3,Level_4
15,ABCA9,ENSG00000154258,R-HSA-1369062,ABC transporters in lipid homeostasis,10350,0: 09183 Protein families: signaling and cellular processes,1: 02000 Transporters [BR:hsa02000],2: 10350 (ABCA9),,
16,ABCA12,ENSG00000144452,R-HSA-5682294,Defective ABCA12 causes ARCI4B,26154,0: 09183 Protein families: signaling and cellular processes,1: 02000 Transporters [BR:hsa02000],2: 26154 (ABCA12),,
17,ABCA13,ENSG00000179869,R-HSA-6798695,Neutrophil degranulation,154664,0: 09183 Protein families: signaling and cellular processes,1: 02000 Transporters [BR:hsa02000],2: 154664 (ABCA13),,
18,ABCB1,ENSG00000085563,R-HSA-2161517,Abacavir transmembrane transport,8647,0: 09183 Protein families: signaling and cellular processes,1: 02000 Transporters [BR:hsa02000],2: 8647 (ABCB11),,
19,ABCB4,ENSG00000005471,R-HSA-5678771,"Defective ABCB4 causes PFIC3, ICP3 and GBD1",5244,0: 09183 Protein families: signaling and cellular processes,1: 02000 Transporters [BR:hsa02000],2: 5244 (ABCB4),,
20,ABCB5,ENSG00000004846,R-HSA-382556,ABC-family proteins mediated transport,340273,0: 09183 Protein families: signaling and cellular processes,1: 02000 Transporters [BR:hsa02000],2: 340273 (ABCB5),,
21,ABCB8,ENSG00000197150,R-HSA-1369007,Mitochondrial ABC transporters,11194,0: 09183 Protein families: signaling and cellular processes,1: 02000 Transporters [BR:hsa02000],2: 11194 (ABCB8),,
22,ABCB9,ENSG00000150967,R-HSA-382556,ABC-family proteins mediated transport,23457,0: 09183 Protein families: signaling and cellular processes,1: 02000 Transporters [BR:hsa02000],2: 23457 (ABCB9),,
23,ABCB10,ENSG00000135776,R-HSA-1369007,Mitochondrial ABC transporters,23456,0: 09183 Protein families: signaling and cellular processes,1: 02000 Transporters [BR:hsa02000],2: 23456 (ABCB10),,
24,ABCB11,ENSG00000073734,R-HSA-193368,Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol,8647,0: 09183 Protein families: signaling and cellular processes,1: 02000 Transporters [BR:hsa02000],2: 8647 (ABCB11),,
25,ABCC1,ENSG00000103222,R-HSA-9818032,NFE2L2 regulating MDR associated enzymes,89845,0: 09183 Protein families: signaling and cellular processes,1: 02000 Transporters [BR:hsa02000],2: 89845 (ABCC10),,
26,ABCC3,ENSG00000108846,R-HSA-159418,Recycling of bile acids and salts,8714,0: 09183 Protein families: signaling and cellular processes,1: 02000 Transporters [BR:hsa02000],2: 8714 (ABCC3),,
27,ABCC4,ENSG00000125257,R-HSA-9748787,Azathioprine ADME,10257,0: 09183 Protein families: signaling and cellular processes,1: 02000 Transporters [BR:hsa02000],2: 10257 (ABCC4),,
28,ABCC5,ENSG00000114770,R-HSA-2142850,Hyaluronan biosynthesis and export,10057,0: 09183 Protein families: signaling and cellular processes,1: 02000 Transporters [BR:hsa02000],2: 10057 (ABCC5),,
29,ABCC6,ENSG00000091262,R-HSA-5690338,Defective ABCC6 causes PXE,368,0: 09183 Protein families: signaling and cellular processes,1: 02000 Transporters [BR:hsa02000],2: 368 (ABCC6),,
30,ABCC8,ENSG00000006071,R-HSA-1296025,ATP sensitive Potassium channels,6833,0: 09183 Protein families: signaling and cellular processes,1: 02000 Transporters [BR:hsa02000],2: 6833 (ABCC8),,
31,ABCC9,ENSG00000069431,R-HSA-1296025,ATP sensitive Potassium channels,10060,0: 09183 Protein families: signaling and cellular processes,1: 02000 Transporters [BR:hsa02000],2: 10060 (ABCC9),,
32,ABCC10,ENSG00000124574,R-HSA-382556,ABC-family proteins mediated transport,89845,0: 09183 Protein families: signaling and cellular processes,1: 02000 Transporters [BR:hsa02000],2: 89845 (ABCC10),,
33,ABCC11,ENSG00000121270,R-HSA-382556,ABC-family proteins mediated transport,85320,0: 09183 Protein families: signaling and cellular processes,1: 02000 Transporters [BR:hsa02000],2: 85320 (ABCC11),,
34,ABCC12,ENSG00000140798,,,94160,0: 09183 Protein families: signaling and cellular processes,1: 02000 Transporters [BR:hsa02000],2: 94160 (ABCC12),,
35,ABCD1,ENSG00000101986,R-HSA-9603798,Class I peroxisomal membrane protein import,215,0: 09183 Protein families: signaling and cellular processes,1: 02000 Transporters [BR:hsa02000],2: 215 (ABCD1),,
36,ABCE1,ENSG00000164163,R-HSA-8983711,OAS antiviral response,6059,0: 09182 Protein families: genetic information processing,1: 03009 Ribosome biogenesis [BR:hsa03009],2: 6059 (ABCE1),,
37,ABCF1,ENSG00000204574,R-HSA-382556,ABC-family proteins mediated transport,23,0: 09182 Protein families: genetic information processing,1: 03012 Translation factors [BR:hsa03012],2: 23 (ABCF1),,
38,ABCF2,ENSG00000285292,R-HSA-9818032,NFE2L2 regulating MDR associated enzymes,114483834,0: 09182 Protein families: genetic information processing,1: 03009 Ribosome biogenesis [BR:hsa03009],2: 114483834 (ABCF2-H2BK1),,
39,ABCF3,ENSG00000161204,,,55324,0: 09182 Protein families: genetic information processing,1: 03012 Translation factors [BR:hsa03012],2: 55324 (ABCF3),,
40,ABCG2,ENSG00000118777,R-HSA-9725554,Differentiation of keratinocytes in interfollicular epidermis in mammalian skin,9429,0: 09183 Protein families: signaling and cellular processes,1: 02000 Transporters [BR:hsa02000],2: 9429 (ABCG2),,
41,ABCG4,ENSG00000172350,R-HSA-1369062,ABC transporters in lipid homeostasis,64137,0: 09183 Protein families: signaling and cellular processes,1: 02000 Transporters [BR:hsa02000],2: 64137 (ABCG4),,
42,ABCG8,ENSG00000143921,R-HSA-5679090,Defective ABCG8 causes GBD4 and sitosterolemia,64241,0: 09183 Protein families: signaling and cellular processes,1: 02000 Transporters [BR:hsa02000],2: 64241 (ABCG8),,
43,ABHD8,ENSG00000127220,,,79575,0: 09181 Protein families: metabolism,1: 01002 Peptidases and inhibitors [BR:hsa01002],2: 79575 (ABHD8),,
44,ABHD15,ENSG00000168792,,,116236,,,,,
45,ABHD16A,ENSG00000204427,,,7920,0: 09181 Protein families: metabolism,1: 01002 Peptidases and inhibitors [BR:hsa01002],2: 7920 (ABHD16A),,
46,ABHD17A,ENSG00000129968,R-HSA-9648002,RAS processing,81926,0: 09181 Protein families: metabolism,1: 01002 Peptidases and inhibitors [BR:hsa01002],2: 81926 (ABHD17A),,
47,ABHD17C,ENSG00000136379,R-HSA-9648002,RAS processing,58489,0: 09181 Protein families: metabolism,1: 01002 Peptidases and inhibitors [BR:hsa01002],2: 58489 (ABHD17C),,
48,ABI1,ENSG00000136754,R-HSA-9664422,FCGR3A-mediated phagocytosis,10006,,,,,
49,ABI3,ENSG00000108798,,,51225,0: 09183 Protein families: signaling and cellular processes,1: 04990 Domain-containing proteins not elsewhere classified [BR:hsa04990],2: 51225 (ABI3),,
50,ABI3BP,ENSG00000154175,,,25890,0: 09183 Protein families: signaling and cellular processes,1: 04990 Domain-containing proteins not elsewhere classified [BR:hsa04990],2: 25890 (ABI3BP),,
51,ABL1,ENSG00000097007,R-HSA-5693565,Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks,91768,,,,,
52,ABL2,ENSG00000143322,R-HSA-9706369,Negative regulation of FLT3,27,0: 09181 Protein families: metabolism,1: 01001 Protein kinases [BR:hsa01001],2: 27 (ABL2),,
53,ABLIM3,ENSG00000173210,R-HSA-418885,DCC mediated attractive signaling,22885,,,,,
54,ABT1,ENSG00000146109,,,29777,0: 09182 Protein families: genetic information processing,1: 03009 Ribosome biogenesis [BR:hsa03009],2: 29777 (ABT1),,
55,ABTB2,ENSG00000166016,,,121551,0: 09182 Protein families: genetic information processing,1: 04121 Ubiquitin system [BR:hsa04121],2: 121551 (ABTB3),,
56,ACACA,ENSG00000278540,R-HSA-3371599,Defective HLCS causes multiple carboxylase deficiency,31,,,,,
57,ACACB,ENSG00000076555,R-HSA-163765,ChREBP activates metabolic gene expression,32,,,,,
58,ACAD9,ENSG00000177646,R-HSA-6799198,Complex I biogenesis,28976,0: 09182 Protein families: genetic information processing,1: 03029 Mitochondrial biogenesis [BR:hsa03029],2: 28976 (ACAD9),,
59,ACAD10,ENSG00000111271,R-HSA-77289,Mitochondrial Fatty Acid Beta-Oxidation,80724,,,,,
60,ACADS,ENSG00000122971,R-HSA-77350,Beta oxidation of hexanoyl-CoA to butanoyl-CoA,35,,,,,
61,ACADSB,ENSG00000196177,R-HSA-9837999,Mitochondrial protein degradation,36,,,,,
62,ACADVL,ENSG00000072778,R-HSA-77305,Beta oxidation of palmitoyl-CoA to myristoyl-CoA,37,,,,,
63,ACAN,ENSG00000157766,R-HSA-2022857,Keratan sulfate degradation,176,0: 09183 Protein families: signaling and cellular processes,1: 00535 Proteoglycans [BR:hsa00535],2: 176 (ACAN),,
64,ACAP1,ENSG00000072818,,,9744,0: 09182 Protein families: genetic information processing,1: 04131 Membrane trafficking [BR:hsa04131],2: 9744 (ACAP1),,
65,ACAP2,ENSG00000114331,,,23527,0: 09182 Protein families: genetic information processing,1: 04131 Membrane trafficking [BR:hsa04131],2: 23527 (ACAP2),,
66,ACAP3,ENSG00000131584,,,23024,0: 09182 Protein families: genetic information processing,1: 04121 Ubiquitin system [BR:hsa04121],2: 23024 (PDZRN3),,
67,ACBD5,ENSG00000107897,R-HSA-8980692,RHOA GTPase cycle,91452,0: 09182 Protein families: genetic information processing,1: 04131 Membrane trafficking [BR:hsa04131],2: 91452 (ACBD5),,
68,ACCS,ENSG00000110455,,,84680,,,,,
69,ACD,ENSG00000102977,R-HSA-110328,Recognition and association of DNA glycosylase with site containing an affected pyrimidine,201562,0: 09181 Protein families: metabolism,1: 01004 Lipid biosynthesis proteins [BR:hsa01004],2: 201562 (HACD2),,
70,ACER1,ENSG00000167769,R-HSA-9845614,Sphingolipid catabolism,125981,,,,,
71,ACIN1,ENSG00000100813,R-HSA-72163,mRNA Splicing - Major Pathway,22985,0: 09182 Protein families: genetic information processing,1: 03019 Messenger RNA biogenesis [BR:hsa03019],2: 22985 (ACIN1),,
72,ACKR1,ENSG00000213088,R-HSA-375276,Peptide ligand-binding receptors,2532,0: 09183 Protein families: signaling and cellular processes,1: 04030 G protein-coupled receptors [BR:hsa04030],2: 2532 (ACKR1),,
73,ACKR2,ENSG00000144648,R-HSA-380108,Chemokine receptors bind chemokines,1238,0: 09183 Protein families: signaling and cellular processes,1: 04030 G protein-coupled receptors [BR:hsa04030],2: 1238 (ACKR2),,
74,ACKR3,ENSG00000144476,R-HSA-380108,Chemokine receptors bind chemokines,57007,0: 09183 Protein families: signaling and cellular processes,1: 04030 G protein-coupled receptors [BR:hsa04030],2: 57007 (ACKR3),,
75,ACKR4,ENSG00000129048,R-HSA-380108,Chemokine receptors bind chemokines,51554,0: 09183 Protein families: signaling and cellular processes,1: 04030 G protein-coupled receptors [BR:hsa04030],2: 51554 (ACKR4),,
76,ACLY,ENSG00000131473,R-HSA-163765,ChREBP activates metabolic gene expression,47,0: 09183 Protein families: signaling and cellular processes,1: 04147 Exosome [BR:hsa04147],,,
77,ACMSD,ENSG00000153086,R-HSA-71240,Tryptophan catabolism,130013,,,,,
78,ACO2,ENSG00000100412,R-HSA-9837999,Mitochondrial protein degradation,50,,,,,
79,ACOT2,ENSG00000119673,R-HSA-9837999,Mitochondrial protein degradation,10965,0: 09181 Protein families: metabolism,1: 01004 Lipid biosynthesis proteins [BR:hsa01004],2: 10965 (ACOT2),,
80,ACOT12,ENSG00000172497,R-HSA-77289,Mitochondrial Fatty Acid Beta-Oxidation,134526,,,,,
81,ACOX2,ENSG00000168306,R-HSA-193368,Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol,8309,,,,,
82,ACOXL,ENSG00000153093,R-HSA-389887,Beta-oxidation of pristanoyl-CoA,55289,,,,,
83,ACP4,ENSG00000142513,,,93650,,,,,
84,ACP3,ENSG00000014257,R-HSA-6798695,Neutrophil degranulation,55,,,,,
85,ACSF2,ENSG00000167107,R-HSA-77289,Mitochondrial Fatty Acid Beta-Oxidation,80221,0: 09181 Protein families: metabolism,1: 01004 Lipid biosynthesis proteins [BR:hsa01004],2: 80221 (ACSF2),,
86,ACSL3,ENSG00000123983,R-HSA-434313,Intracellular metabolism of fatty acids regulates insulin secretion,2181,0: 09181 Protein families: metabolism,1: 01004 Lipid biosynthesis proteins [BR:hsa01004],2: 2181 (ACSL3),,
87,ACSL6,ENSG00000164398,R-HSA-75876,Synthesis of very long-chain fatty acyl-CoAs,23305,0: 09181 Protein families: metabolism,1: 01004 Lipid biosynthesis proteins [BR:hsa01004],2: 23305 (ACSL6),,
88,ACSM1,ENSG00000166743,R-HSA-177135,Conjugation of benzoate with glycine,116285,0: 09181 Protein families: metabolism,1: 01004 Lipid biosynthesis proteins [BR:hsa01004],2: 116285 (ACSM1),,
89,ACSM2A,ENSG00000183747,R-HSA-177128,Conjugation of salicylate with glycine,123876,0: 09181 Protein families: metabolism,1: 01004 Lipid biosynthesis proteins [BR:hsa01004],2: 123876 (ACSM2A),,
90,ACSM3,ENSG00000005187,R-HSA-77352,Beta oxidation of butanoyl-CoA to acetyl-CoA,6296,0: 09181 Protein families: metabolism,1: 01004 Lipid biosynthesis proteins [BR:hsa01004],2: 6296 (ACSM3),,
91,ACSM4,ENSG00000215009,R-HSA-177128,Conjugation of salicylate with glycine,341392,0: 09181 Protein families: metabolism,1: 01004 Lipid biosynthesis proteins [BR:hsa01004],2: 341392 (ACSM4),,
92,ACSM5,ENSG00000183549,R-HSA-177128,Conjugation of salicylate with glycine,54988,0: 09181 Protein families: metabolism,1: 01004 Lipid biosynthesis proteins [BR:hsa01004],2: 54988 (ACSM5),,
93,ACSS1,ENSG00000154930,R-HSA-71384,Ethanol oxidation,84532,0: 09181 Protein families: metabolism,1: 01004 Lipid biosynthesis proteins [BR:hsa01004],2: 84532 (ACSS1),,
94,ACSS3,ENSG00000111058,R-HSA-77111,Synthesis of Ketone Bodies,79611,0: 09181 Protein families: metabolism,1: 01004 Lipid biosynthesis proteins [BR:hsa01004],2: 79611 (ACSS3),,
95,ACTA1,ENSG00000143632,R-HSA-390522,Striated Muscle Contraction,58,0: 09183 Protein families: signaling and cellular processes,1: 04812 Cytoskeleton proteins [BR:hsa04812],2: 58 (ACTA1),,
96,ACTB,ENSG00000075624,R-HSA-9664422,FCGR3A-mediated phagocytosis,646262,,,,,
97,ACTC1,ENSG00000159251,R-HSA-8980692,RHOA GTPase cycle,70,0: 09183 Protein families: signaling and cellular processes,1: 04812 Cytoskeleton proteins [BR:hsa04812],2: 70 (ACTC1),,
98,ACTG1,ENSG00000184009,R-HSA-9664422,FCGR3A-mediated phagocytosis,71,0: 09182 Protein families: genetic information processing,1: 03021 Transcription machinery [BR:hsa03021],2: 71 (ACTG1),,
99,ACTL9,ENSG00000181786,,,284382,0: 09183 Protein families: signaling and cellular processes,1: 03037 Cilium and associated proteins [BR:hsa03037],2: 284382 (ACTL9),,
100,ACTN1,ENSG00000072110,R-HSA-3000170,Syndecan interactions,87,0: 09182 Protein families: genetic information processing,1: 04131 Membrane trafficking [BR:hsa04131],2: 87 (ACTN1),,
101,ACTN2,ENSG00000077522,R-HSA-9617324,Negative regulation of NMDA receptor-mediated neuronal transmission,88,0: 09182 Protein families: genetic information processing,1: 04131 Membrane trafficking [BR:hsa04131],2: 88 (ACTN2),,
102,ACTN3,ENSG00000248746,R-HSA-390522,Striated Muscle Contraction,89,0: 09182 Protein families: genetic information processing,1: 04131 Membrane trafficking [BR:hsa04131],2: 89 (ACTN3),,
103,ACTR2,ENSG00000138071,R-HSA-9664422,FCGR3A-mediated phagocytosis,10097,0: 09182 Protein families: genetic information processing,1: 04131 Membrane trafficking [BR:hsa04131],2: 10097 (ACTR2),,
104,ACTR6,ENSG00000075089,,,64431,0: 09182 Protein families: genetic information processing,1: 03036 Chromosome and associated proteins [BR:hsa03036],2: 64431 (ACTR6),,
105,ACTR8,ENSG00000113812,R-HSA-5689603,UCH proteinases,93973,0: 09182 Protein families: genetic information processing,1: 03036 Chromosome and associated proteins [BR:hsa03036],2: 93973 (ACTR8),,
106,ACTRT1,ENSG00000123165,,,139741,,,,,
107,ACVR1,ENSG00000115170,,,91,0: 09181 Protein families: metabolism,,,,
108,ACVR1B,ENSG00000135503,R-HSA-1502540,Signaling by Activin,91,0: 09181 Protein families: metabolism,,,,
109,ACVR2A,ENSG00000121989,R-HSA-201451,Signaling by BMP,92,0: 09181 Protein families: metabolism,1: 01001 Protein kinases [BR:hsa01001],2: 92 (ACVR2A),,
110,ACVRL1,ENSG00000139567,R-HSA-201451,Signaling by BMP,94,0: 09181 Protein families: metabolism,1: 01001 Protein kinases [BR:hsa01001],2: 94 (ACVRL1),,
111,ADAD2,ENSG00000140955,,,161931,,,,,
112,ADAM2,ENSG00000104755,R-HSA-2534343,Interaction With Cumulus Cells And The Zona Pellucida,8748,0: 09181 Protein families: metabolism,1: 01002 Peptidases and inhibitors [BR:hsa01002],2: 8748 (ADAM20),,
113,ADAM10,ENSG00000137845,R-HSA-2644606,Constitutive Signaling by NOTCH1 PEST Domain Mutants,102,0: 09181 Protein families: metabolism,1: 01002 Peptidases and inhibitors [BR:hsa01002],2: 102 (ADAM10),,
114,ADAM11,ENSG00000073670,R-HSA-5682910,LGI-ADAM interactions,4185,0: 09181 Protein families: metabolism,1: 01002 Peptidases and inhibitors [BR:hsa01002],2: 4185 (ADAM11),,
115,ADAM12,ENSG00000148848,R-HSA-8941237,Invadopodia formation,8038,0: 09181 Protein families: metabolism,1: 01002 Peptidases and inhibitors [BR:hsa01002],2: 8038 (ADAM12),,
116,ADAM15,ENSG00000143537,R-HSA-8941237,Invadopodia formation,8751,0: 09181 Protein families: metabolism,1: 01002 Peptidases and inhibitors [BR:hsa01002],2: 8751 (ADAM15),,
117,ADAM18,ENSG00000168619,,,8749,0: 09181 Protein families: metabolism,1: 01002 Peptidases and inhibitors [BR:hsa01002],2: 8749 (ADAM18),,
118,ADAM19,ENSG00000135074,R-HSA-9762292,Regulation of CDH11 function,8728,0: 09181 Protein families: metabolism,1: 01002 Peptidases and inhibitors [BR:hsa01002],2: 8728 (ADAM19),,
119,ADAM20,ENSG00000134007,R-HSA-2534343,Interaction With Cumulus Cells And The Zona Pellucida,8748,0: 09181 Protein families: metabolism,1: 01002 Peptidases and inhibitors [BR:hsa01002],2: 8748 (ADAM20),,
120,ADAM21,ENSG00000139985,R-HSA-2534343,Interaction With Cumulus Cells And The Zona Pellucida,8747,0: 09181 Protein families: metabolism,1: 01002 Peptidases and inhibitors [BR:hsa01002],2: 8747 (ADAM21),,
121,ADAM22,ENSG00000008277,R-HSA-5682910,LGI-ADAM interactions,53616,0: 09181 Protein families: metabolism,1: 01002 Peptidases and inhibitors [BR:hsa01002],2: 53616 (ADAM22),,
122,ADAM23,ENSG00000114948,R-HSA-5682910,LGI-ADAM interactions,8745,0: 09181 Protein families: metabolism,1: 01002 Peptidases and inhibitors [BR:hsa01002],2: 8745 (ADAM23),,
123,ADAM28,ENSG00000042980,,,10863,0: 09181 Protein families: metabolism,1: 01002 Peptidases and inhibitors [BR:hsa01002],2: 10863 (ADAM28),,
124,ADAM29,ENSG00000168594,,,11086,0: 09181 Protein families: metabolism,1: 01002 Peptidases and inhibitors [BR:hsa01002],2: 11086 (ADAM29),,
125,ADAM30,ENSG00000134249,R-HSA-2534343,Interaction With Cumulus Cells And The Zona Pellucida,11085,0: 09181 Protein families: metabolism,1: 01002 Peptidases and inhibitors [BR:hsa01002],2: 11085 (ADAM30),,
126,ADAM32,ENSG00000197140,,,203102,0: 09181 Protein families: metabolism,1: 01002 Peptidases and inhibitors [BR:hsa01002],2: 203102 (ADAM32),,
127,ADAM33,ENSG00000149451,R-HSA-9762292,Regulation of CDH11 function,80332,0: 09181 Protein families: metabolism,1: 01002 Peptidases and inhibitors [BR:hsa01002],2: 80332 (ADAM33),,
128,ADAMTS1,ENSG00000154734,R-HSA-5173214,O-glycosylation of TSR domain-containing proteins,81792,0: 09181 Protein families: metabolism,1: 01002 Peptidases and inhibitors [BR:hsa01002],2: 81792 (ADAMTS12),,
129,ADAMTS2,ENSG00000087116,R-HSA-5173214,O-glycosylation of TSR domain-containing proteins,9509,0: 09181 Protein families: metabolism,1: 01002 Peptidases and inhibitors [BR:hsa01002],2: 9509 (ADAMTS2),,
130,ADAMTS3,ENSG00000156140,R-HSA-5173214,O-glycosylation of TSR domain-containing proteins,9508,0: 09181 Protein families: metabolism,1: 01002 Peptidases and inhibitors [BR:hsa01002],2: 9508 (ADAMTS3),,
131,ADAMTS4,ENSG00000158859,R-HSA-5173214,O-glycosylation of TSR domain-containing proteins,9507,0: 09181 Protein families: metabolism,1: 01002 Peptidases and inhibitors [BR:hsa01002],2: 9507 (ADAMTS4),,
132,ADAMTS5,ENSG00000154736,R-HSA-5173214,O-glycosylation of TSR domain-containing proteins,11096,0: 09181 Protein families: metabolism,1: 01002 Peptidases and inhibitors [BR:hsa01002],2: 11096 (ADAMTS5),,
133,ADAMTS6,ENSG00000049192,R-HSA-5173214,O-glycosylation of TSR domain-containing proteins,11174,0: 09181 Protein families: metabolism,1: 01002 Peptidases and inhibitors [BR:hsa01002],2: 11174 (ADAMTS6),,
134,ADAMTS7,ENSG00000136378,R-HSA-5173214,O-glycosylation of TSR domain-containing proteins,11173,0: 09181 Protein families: metabolism,1: 01002 Peptidases and inhibitors [BR:hsa01002],2: 11173 (ADAMTS7),,
135,ADAMTS8,ENSG00000134917,R-HSA-5173214,O-glycosylation of TSR domain-containing proteins,11095,0: 09181 Protein families: metabolism,1: 01002 Peptidases and inhibitors [BR:hsa01002],2: 11095 (ADAMTS8),,
136,ADAMTS9,ENSG00000163638,R-HSA-5173214,O-glycosylation of TSR domain-containing proteins,56999,0: 09181 Protein families: metabolism,1: 01002 Peptidases and inhibitors [BR:hsa01002],2: 56999 (ADAMTS9),,
137,ADAMTS10,ENSG00000142303,R-HSA-5173214,O-glycosylation of TSR domain-containing proteins,81794,0: 09181 Protein families: metabolism,1: 01002 Peptidases and inhibitors [BR:hsa01002],2: 81794 (ADAMTS10),,
138,ADAMTS12,ENSG00000151388,R-HSA-5173214,O-glycosylation of TSR domain-containing proteins,81792,0: 09181 Protein families: metabolism,1: 01002 Peptidases and inhibitors [BR:hsa01002],2: 81792 (ADAMTS12),,
139,ADAMTS14,ENSG00000138316,R-HSA-5173214,O-glycosylation of TSR domain-containing proteins,140766,0: 09181 Protein families: metabolism,1: 01002 Peptidases and inhibitors [BR:hsa01002],2: 140766 (ADAMTS14),,
140,ADAMTS15,ENSG00000166106,R-HSA-5173214,O-glycosylation of TSR domain-containing proteins,170689,0: 09181 Protein families: metabolism,1: 01002 Peptidases and inhibitors [BR:hsa01002],2: 170689 (ADAMTS15),,
141,ADAMTS16,ENSG00000145536,R-HSA-5173214,O-glycosylation of TSR domain-containing proteins,170690,0: 09181 Protein families: metabolism,1: 01002 Peptidases and inhibitors [BR:hsa01002],2: 170690 (ADAMTS16),,
142,ADAMTS17,ENSG00000140470,R-HSA-5173214,O-glycosylation of TSR domain-containing proteins,170691,0: 09181 Protein families: metabolism,1: 01002 Peptidases and inhibitors [BR:hsa01002],2: 170691 (ADAMTS17),,
143,ADAMTS18,ENSG00000140873,R-HSA-5173214,O-glycosylation of TSR domain-containing proteins,170692,0: 09181 Protein families: metabolism,1: 01002 Peptidases and inhibitors [BR:hsa01002],2: 170692 (ADAMTS18),,
144,ADAMTS19,ENSG00000145808,R-HSA-5173214,O-glycosylation of TSR domain-containing proteins,171019,0: 09181 Protein families: metabolism,1: 01002 Peptidases and inhibitors [BR:hsa01002],2: 171019 (ADAMTS19),,
145,ADAMTS20,ENSG00000173157,R-HSA-5173214,O-glycosylation of TSR domain-containing proteins,80070,0: 09181 Protein families: metabolism,1: 01002 Peptidases and inhibitors [BR:hsa01002],2: 80070 (ADAMTS20),,
146,ADAMTSL1,ENSG00000178031,R-HSA-5173214,O-glycosylation of TSR domain-containing proteins,92949,0: 09183 Protein families: signaling and cellular processes,1: 04990 Domain-containing proteins not elsewhere classified [BR:hsa04990],2: 92949 (ADAMTSL1),,
147,ADAMTSL3,ENSG00000156218,R-HSA-5173214,O-glycosylation of TSR domain-containing proteins,57188,0: 09183 Protein families: signaling and cellular processes,1: 04990 Domain-containing proteins not elsewhere classified [BR:hsa04990],2: 57188 (ADAMTSL3),,
148,ADAP1,ENSG00000105963,R-HSA-1251985,Nuclear signaling by ERBB4,11033,0: 09183 Protein families: signaling and cellular processes,1: 04990 Domain-containing proteins not elsewhere classified [BR:hsa04990],2: 11033 (ADAP1),,
149,ADAR,ENSG00000160710,R-HSA-9833482,PKR-mediated signaling,103,0: 09182 Protein families: genetic information processing,1: 03041 Spliceosome [BR:hsa03041],2: 103 (ADAR),,
150,ADARB1,ENSG00000197381,R-HSA-77042,Formation of editosomes by ADAR proteins,104,0: 09182 Protein families: genetic information processing,1: 03041 Spliceosome [BR:hsa03041],2: 104 (ADARB1),,
